ingred_desc,ingred_code,simple_name,label
"Beverages, Protein powder whey based",14066,Protein powder,1
"Pie fillings, blueberry, canned",44158,Whole blueberry,1
"Cabbage, red, cooked, boiled, drained, without salt",11113,Purple cabbage,1
"Buckwheat groats, roasted, cooked",20010,Hot cereal whole grain creamy buckwheat,1
"Blackberries, frozen, unsweetened",9048,Whole blackberry,1
"Cheese, mozzarella, nonfat",42304,Low Moisture part Skim Mozarella cheese,1
"Nuts, almonds, oil roasted, without salt added",12065,roasted almonds,1
"Plantains, cooked",9278,Plantain banana (steamed 10 in),1
"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D",16230,Soy milk,1
"Egg, whole, cooked, scrambled",1132,Whole brown egg,1
"Protein supplement, milk based, Muscle Milk, powder",1223,Protein powder,1
"Tomatoes, red, ripe, canned, packed in tomato juice, no salt added",11885,Muir's diced tomatoes,1
"Turkey, back, from whole bird, meat and skin, with added solution, roasted",5745,ground turkey,1
"Turkey, retail parts, thigh, meat and skin, cooked, roasted",5743,ground turkey,1
"Protein supplement, milk based, Muscle Milk Light, powder",1224,Protein powder,1
"Refried beans, canned, fat-free",16172,Refried Beans,1
"Turkey, whole, dark meat, meat and skin, cooked, roasted",5184,ground turkey,1
"Turkey, drumstick, smoked, cooked, with skin, bone removed",43367,ground turkey,1
"Cheese, mozzarella, part skim milk",1028,Low Moisture part Skim Mozarella cheese,1
"Turkey, whole, meat and skin, raw",5165,ground turkey,1
"Turkey, retail parts, breast, meat and skin, with added solution, raw",5727,ground turkey,1
"Beans, mature, red kidney, canned, solids and liquid, low sodium",16337,Canned Kidney beans,1
"Nuts, cashew butter, plain, with salt added",12588,Cashew,1
"Cheese, American, nonfat or fat free",1061,American Cheese,1
"Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)",9044,Whole sweet cherry,1
"Lentils, raw",16069,Whole grain brown lentils,1
"Quinoa, cooked",20137,Quinoa,1
"Cheese, pasteurized process, American, low fat",43275,American Cheese,1
"Babyfood, fruit, applesauce, strained",3116,Original apple sauce (Tree top),1
"Beans, black turtle, mature seeds, canned",16018,Canned black beans (S&W),1
"Mushrooms, shiitake, dried",11268,Steamed whole shiitake mushrooms,1
"Cheese, mozzarella, low sodium",43597,Low Moisture part Skim Mozarella cheese,1
"Beverages, tea, black, ready-to-drink, lemon, sweetened",14199,Black tea,1
"Beverages, tea, black, ready to drink",14247,Black tea,1
"Yogurt, Greek, plain, lowfat",1287,Yogurt,1
"Yogurt, Greek, plain, whole milk",1293,Yogurt,1
"Beverages, tea, black, ready to drink, decaffeinated",14281,Black tea,1
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",9517,Apple juice,1
"Beverages, tea, black, ready-to-drink, lemon, diet",14211,Black tea,1
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",16347,Canned low sodium pinto bean,1
"Edamame, frozen, prepared",11212,Frozen edamame,1
"Beverages, tea, black, ready to drink, decaffeinated, diet",14280,Black tea,1
"Yogurt, Greek, vanilla, lowfat",1297,Yogurt,1
"Beverages, Cocoa mix, no sugar added, powder",14196,Cocoa powder,1
"Babyfood, cereal, barley, dry fortified",3181,Whole grain pearl barley,1
"Babyfood, cereal, barley, dry fortified",3181,Whole grain pearl barley,1
"Refried beans, canned, traditional, reduced sodium",16403,Refried Beans,1
"Cauliflower, green, raw",11965,Steamed Cauliflower florets and stalk,1
"Cauliflower, green, raw",11965,Steamed Cauliflower florets and stalk,1
"Blackberries, canned, heavy syrup, solids and liquids",9046,Whole blackberry,1
"Cherries, sweet, canned, light syrup pack, solids and liquids",9073,Whole sweet cherry,1
"Babyfood, cookies",3213,Vanilla cookies,1
"Egg, whole, cooked, poached",1131,Whole brown egg,1
"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",7961,Chicken breast,1
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",16360,Canned garbanzo beans,1
"Babyfood, cereal, rice, dry fortified",3194,Rice cereal (Gerber),1
"Broccoli, frozen, spears, cooked, boiled, drained, without salt",11095,Frozen broccoli florets,1
"REDUCED SODIUM: Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",907961,Chicken breast,1
"Pork sausage, link/patty, reduced fat, cooked, pan-fried",7966,ground pork,1
"Apples, raw, without skin",9004,Whole Golden Del apple w/o seed,1
"Pork, cured, bacon, pre-sliced, cooked, pan-fried",10862,ground pork,1
"Peppers, hot chili, red, raw",11819,Jalapeno,1
"Beef, chuck, blade roast, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13382,Beef round tip steak,1
"Corn flour, masa, unenriched, white",20019,Dried corn grits/polenta,1
"Frankfurter, beef, unheated",7022,Beef round tip steak,1
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",10062,ground pork,1
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",10080,ground pork,1
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw",10949,ground pork,1
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat,with added solution, raw",10953,ground pork,1
"Carrots, raw",11124,Steamed whole carrots,1
"Potatoes, baked, flesh and skin, without salt",11674,Steamed whole russet potato,1
Catsup,11935,Tomato Ketchup,1
"Beans, white, mature seeds, cooked, boiled, without salt",16050,Cannellini Beans,1
"Snacks, potato chips, plain, salted",19411,Steamed russet potato flesh only,1
"Rice flour, white, unenriched",20061,Rice cereal (Gerber),1
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",10002,ground pork,1
"Tomato products, canned, puree, without salt added",11547,Hunt's Tomato paste,1
"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",13912,Beef round tip steak,1
"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",23100,Beef round tip steak,1
"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",23197,Beef round tip steak,1
"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",10136,ground pork,1
"Pork, cured, ham, boneless, extra lean and regular, roasted",10183,ground pork,1
"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",10917,ground pork,1
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",10922,ground pork,1
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",10928,ground pork,1
"Lettuce, green leaf, raw",11253,Steamed Iceberg lettuce,1
"Cereals, oats, regular and quick, not fortified, dry",8120,Rolled oats,1
"Oranges, raw, all commercial varieties",9200,Navel orange,1
"Alcoholic beverage, wine, table, all",14084,Cabernet Sauvignon wine,1
"Pasta, cooked, enriched, without added salt",20121,Spaghetti,1
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",7028,ground pork,1
"Pork sausage, link/patty, cooked, pan-fried",7064,ground pork,1
"Sausage, turkey, breakfast links, mild, raw",7919,ground turkey,1
"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",10879,ground pork,1
"Pickles, cucumber, dill or kosher dill",11937,Pickles,1
"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",14352,Black tea,1
"Soymilk, original and vanilla, with added calcium, vitamins A and D",16139,Soy milk,1
"Pineapple, canned, juice pack, drained",9354,Gold (golden) pineapple,1
"Corn, sweet, yellow, raw",11167,Frozen Golden Corn Kernels (Siganture Select),1
"Potatoes, boiled, cooked in skin, flesh, without salt",11365,Steamed whole russet potato,1
"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",12109,Dried coconut strips,1
"Beans, baked, canned, plain or vegetarian",16006,Navy beans,1
"Wheat flour, white, bread, enriched",20083,All purpose flour,1
"Apples, raw, with skin",9003,Whole Golden Del apple w/o seed,1
"Broccoli, raw",11090,Steamed Crown broccoli florets and stalk,1
"Fish, tuna, light, canned in water, drained solids",15121,Albacore white tuna,1
"Chicken, broiler, rotisserie, BBQ, thigh, meat only",5334,Chicken breast,1
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw",10066,ground pork,1
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw",10948,ground pork,1
"Pork, fresh, variety meats and by-products, feet, cooked, simmered",10173,ground pork,1
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",13840,Beef round tip steak,1
"Corn, sweet, yellow, cooked, boiled, drained, without salt",11168,Frozen Golden Corn Kernels (Siganture Select),1
"Onions, frozen, chopped, cooked, boiled, drained, without salt",11288,Onion,1
"Corn, sweet, white, cooked, boiled, drained, without salt",11901,Frozen Golden Corn Kernels (Siganture Select),1
"Cheese, colby",1011,Sharp Chedder Cheese,1
"Sausage, Italian, pork, cooked",7089,ground pork,1
"Apples, dried, sulfured, uncooked",9011,Freeze dried apple rings,1
"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)",16098,Creamy peanut butter (Skippy),1
"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",12166,Tahini spread (365 Whole Foods Market),1
"Bananas, raw",9040,Yellow banana flesh only,1
"Corn, sweet, yellow, canned, whole kernel, drained solids",11172,Frozen Golden Corn Kernels (Siganture Select),1
"Pork, fresh, spareribs, separable lean and fat, cooked, braised",10089,ground pork,1
"Orange juice, frozen concentrate, unsweetened, undiluted",9214,Pulp free orange juice,1
"Beef, ground, patties, frozen, cooked, broiled",13317,Beef round tip steak,1
"Carrots, canned, regular pack, drained solids",11128,Steamed whole carrots,1
"Cream, fluid, heavy whipping",1053,half and half,1
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",23378,Beef round tip steak,1
"Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted",23348,Beef round tip steak,1
"Onions, spring or scallions (includes tops and bulb), raw",11291,Green onion,1
"Potatoes, flesh and skin, raw",11352,Steamed whole russet potato,1
"Pumpkin, raw",11422,canned pumpkin,1
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",23612,Beef round tip steak,1
"Cereals, corn grits, white, regular and quick, enriched, dry",8090,Dried corn grits/polenta,1
"Beans, snap, green, canned, regular pack, drained solids",11056,Steamed Green beans,1
"Alcoholic beverage, wine, table, red",14096,Cabernet Sauvignon wine,1
"Rice, brown, long-grain, cooked",20037,Brown rice (Mahatma),1
"Pork, fresh, loin, whole, separable lean only, cooked, roasted",10027,ground pork,1
"Alcoholic beverage, beer, regular, all",14003,Budweiser,1
"Pickles, cucumber, sour, low sodium",11946,Pickles,1
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7954,Beef round tip steak,1
"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",9019,Original apple sauce (Tree top),1
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised",10049,ground pork,1
"Peas, green, frozen, cooked, boiled, drained, without salt",11313,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Fish, tuna, fresh, yellowfin, raw",15127,Albacore white tuna,1
"Beverages, tea, instant, decaffeinated, unsweetened",14353,Black tea,1
"Peaches, canned, water pack, solids and liquids",9237,Whole yellow peach (Prima Farms),1
"Soup, stock, chicken, home-prepared",6172,Low sodium chicken broth,1
"Pasta, dry, enriched",20120,Spaghetti,1
"Beverages, tea, instant, lemon, unsweetened",14368,Black tea,1
"Plantains, yellow, raw",9277,Plantain banana (steamed 10 in),1
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",10085,ground pork,1
"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",11391,Steamed whole russet potato,1
"Beef, cured, corned beef, brisket, cooked",13347,Beef round tip steak,1
"Pie fillings, apple, canned",19312,Original apple sauce (Tree top),1
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",9017,Apple juice,1
"Pork, cured, ham, whole, separable lean only, roasted",10153,ground pork,1
"Pork, cured, ham, extra lean and regular, canned, roasted",10185,ground pork,1
"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",10935,ground pork,1
"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",10075,ground pork,1
"Pears, canned, water pack, solids and liquids",9253,Whole Bartlett pear w/o seed,1
"Pickles, cucumber, sour",11941,Pickles,1
"Beans, snap, green, canned, no salt added, drained solids",11729,Steamed Green beans,1
"Potato puffs, frozen, unprepared",11398,Steamed russet potato flesh only,1
"Peas, green, raw",11304,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Breakfast bar, corn flake crust with fruit",43595,snack bar (blueberry),1
"Nuts, coconut meat, raw",12104,Dried coconut chips,1
"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",10871,ground pork,1
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",10883,ground pork,1
"Cabbage, chinese (pak-choi), raw",11116,Steamed Baby Bok Choy leaves and stalk,1
"Plums, dried (prunes), uncooked",9291,Unsweetened pitted prunes,1
"Broccoli, cooked, boiled, drained, without salt",11091,Steamed Crown broccoli florets and stalk,1
"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",9213,Pulp free orange juice,1
"Turkey breast, sliced, prepackaged",7081,ground turkey,1
"Beets, canned, no salt added, solids and liquids",11735,"Peeled, steamed beetroot",1
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",23602,Beef round tip steak,1
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",13810,Beef round tip steak,1
"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",10093,ground pork,1
"Roast beef, deli style, prepackaged, sliced",7043,Beef round tip steak,1
"Cream, fluid, light (coffee cream or table cream)",1050,half and half,1
"Buckwheat flour, whole-groat",20011,Hot cereal whole grain creamy buckwheat,1
"Corn flour, masa, enriched, white",20017,Dried corn grits/polenta,1
"Peppers, hot chili, green, raw",11670,Jalapeno,1
"Beef, ground, 85% lean meat / 15% fat, raw (Includes foods for USDA's Food Distribution Program)",23567,Beef round tip steak,1
"Beef, rib, shortribs, separable lean only, choice, cooked, braised",13150,Beef round tip steak,1
"Pork, cured, ham, boneless, extra lean and regular, unheated",10182,ground pork,1
"Beets, pickled, canned, solids and liquids",11609,"Peeled, steamed beetroot",1
"Beverages, tea, instant, decaffeinated, lemon, diet",14356,Black tea,1
"Peas, green, cooked, boiled, drained, without salt",11305,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",11308,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, raw",10084,ground pork,1
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, with added solution, raw",10946,ground pork,1
"Mustard greens, frozen, cooked, boiled, drained, without salt",11273,Steamed Curely mustard greens,1
"Peas, green, canned, no salt added, solids and liquids",11812,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Beef, cured, corned beef, canned",13348,Beef round tip steak,1
"Beverages, tea, instant, lemon, diet",14376,Black tea,1
"Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",20125,Whole wheat spaghetti,1
"Peas, edible-podded, raw",11300,Steamed whole snow peas,1
"Nuts, almond paste",12071,Almond Butter (Justin's),1
"Tomatoes, red, ripe, cooked",11530,Muir's diced tomatoes,1
"Soup, vegetable with beef broth, canned, prepared with equal volume water",6472,Chunky vegetable soup,1
"Pork, fresh, loin, whole, separable lean only, cooked, braised",10025,ground pork,1
"Broccoli, chinese, raw",11994,Steamed Crown broccoli florets and stalk,1
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",13812,Beef round tip steak,1
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",23614,Beef round tip steak,1
"Pork, fresh, loin, tenderloin, separable lean and fat, raw",10218,ground pork,1
"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",10951,ground pork,1
"Kielbasa, fully cooked, grilled",7968,ground pork,1
"Potatoes, baked, skin, without salt",11364,Steamed whole russet potato,1
"Beets, canned, drained solids",11084,"Peeled, steamed beetroot",1
"Milk, imitation, non-soy",43543,Unsweetened almond milk,1
"Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",23590,Beef round tip steak,1
"Pork, cured, bacon, unprepared",10123,ground pork,1
"Beef, cured, pastrami",13355,Beef round tip steak,1
"Beef, brisket, whole, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",13368,Beef round tip steak,1
"Beef, brisket, whole, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",13367,Beef round tip steak,1
"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",10073,ground pork,1
"Corn, sweet, yellow, canned, no salt added, solids and liquids",11771,Frozen Golden Corn Kernels (Siganture Select),1
"Peas, edible-podded, boiled, drained, without salt",11301,Steamed whole snow peas,1
"Collards, frozen, chopped, cooked, boiled, drained, without salt",11164,Steamed Collard greens leaves and stalk,1
"Apples, dried, sulfured, stewed, without added sugar",9012,Freeze dried apple rings,1
"Ice creams, chocolate, rich",43541,Vanilla bean ice cream,1
"Whey, sweet, dried",1115,Protein powder,1
"Pork, cured, ham, center slice, country-style, separable lean only, raw",10141,ground pork,1
"Carrots, frozen, unprepared",11130,Steamed whole carrots,1
"Peas, green, frozen, unprepared",11312,Frozen Whole Sweet Green Peas (Flav R Pac),1
"Canadian bacon, cooked, pan-fried",10998,ground pork,1
"Beef, cured, dried",13350,Beef round tip steak,1
"Beverages, tea, instant, unsweetened, powder",14366,Black tea,1
"Pork, fresh, loin, whole, separable lean only, raw",10024,ground pork,1
"Apples, raw, without skin, cooked, microwave",9006,Whole Golden Del apple w/o seed,1
"Turkey, whole, breast, meat only, cooked, roasted",5220,ground turkey,1
"Tomatoes, red, ripe, canned, stewed",11533,Muir's diced tomatoes,1
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",10078,ground pork,1
"Pork, cured, shoulder, arm picnic, separable lean only, roasted",10169,ground pork,1
"Peppers, hot chili, red, canned, excluding seeds, solids and liquids",11820,Jalapeno,1
"Cheese, brick",1005,Sharp Chedder Cheese,1
"Rice, brown, long-grain, raw",20036,Brown rice (Mahatma),1
"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8""fat, choice, cooked, broiled",23626,Beef round tip steak,1
"Orange juice, canned, unsweetened",9207,Pulp free orange juice,1
"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",13148,Beef round tip steak,1
"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",9215,Pulp free orange juice,1
"Beets, cooked, boiled, drained",11081,"Peeled, steamed beetroot",1
"Carrots, canned, no salt added, solids and liquids",11758,Steamed whole carrots,1
"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",10099,ground pork,1
"Apricots, canned, light syrup pack, with skin, solids and liquids",9026,Whole apricot,1
"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",10009,ground pork,1
"Soymilk, chocolate, with added calcium, vitamins A and D",16168,Soy milk,1
"Beef, chuck for stew, separable lean and fat, all grades, cooked, braised",23090,Beef round tip steak,1
"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",11303,Steamed whole snow peas,1
"Beans, snap, yellow, cooked, boiled, drained, without salt",11724,Steamed Green beans,1
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",13829,Beef round tip steak,1
"Pineapple, canned, juice pack, solids and liquids",9268,Gold (golden) pineapple,1
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",10023,ground pork,1
"Onions, frozen, whole, cooked, boiled, drained, without salt",11290,Onion,1
"Pork, fresh, loin, tenderloin, separable lean only, raw",10060,ground pork,1
"Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",10944,ground pork,1
"Pork, cured, ham, extra lean and regular, canned, unheated",10184,ground pork,1
"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",10900,ground pork,1
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",10905,ground pork,1
"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated",10909,ground pork,1
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",9027,Whole apricot,1
"Ham, sliced, regular (approximately 11% fat)",7029,ground pork,1
"Apricots, canned, juice pack, with skin, solids and liquids",9024,Whole apricot,1
"Pears, asian, raw",9340,Whole Shingo pear w/o seed,1
Vegetarian fillets,43134,plant based fish fillet,1
"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",13364,Beef round tip steak,1
"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",10061,ground pork,1
"Cream, fluid, light whipping",1052,half and half,1
"Whey, acid, dried",1113,Protein powder,1
"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",10168,ground pork,1
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",10188,ground pork,1
"Apples, dehydrated (low moisture), sulfured, uncooked",9009,Freeze dried apple rings,1
"Tofu, fried",16129,Firm Tofu (Wildwood),1
"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",10011,ground pork,1
"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",14461,Gatorade,1
"Corn, sweet, white, canned, whole kernel, drained solids",11905,Frozen Golden Corn Kernels (Siganture Select),1
"Chicken, canned, no broth",5311,Chicken breast,1
"Turkey, fryer-roasters, meat and skin, cooked, roasted",5200,ground turkey,1
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",43378,ground pork,1
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",23588,Beef round tip steak,1
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",13933,Beef round tip steak,1
"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw",23631,Beef round tip steak,1
"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",11117,Steamed Baby Bok Choy leaves and stalk,1
"Chicken patty, frozen, cooked",5324,Chicken strips,1
"Apricots, canned, water pack, with skin, solids and liquids",9022,Whole apricot,1
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked",13796,Beef round tip steak,1
"Pork, cured, ham, whole, separable lean only, unheated",10152,ground pork,1
"Pork, cured, ham and water product, whole, boneless, separable lean only, unheated",10872,ground pork,1
"Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",10880,ground pork,1
"Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated",10884,ground pork,1
"Pork, fresh, shoulder, whole, separable lean and fat, raw",10070,ground pork,1
"Pork, cured, ham, extra lean (approximately 4% fat), canned, unheated",10137,ground pork,1
"Nuts, coconut meat, dried (desiccated), sweetened, shredded",12179,Dried coconut strips,1
"Catsup, low sodium",11949,Tomato Ketchup,1
"Beans, snap, yellow, canned, regular pack, drained solids",11932,Steamed Green beans,1
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",10071,ground pork,1
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",13816,Beef round tip steak,1
"Ham, chopped, not canned",7027,ground pork,1
"Beans, baked, canned, no salt added",43449,Navy beans,1
"Beans, black, mature seeds, canned, low sodium",16316,Canned black beans (S&W),1
"Babyfood, fortified cereal bar, fruit filling",3964,snack bar (blueberry),1
"Fish, tuna, light, canned in oil, drained solids",15119,Albacore white tuna,1
"Pork, fresh, spareribs, separable lean and fat, raw",10088,ground pork,1
"Pork, fresh, spareribs, separable lean and fat, raw",10088,ground pork,1
"Sausage, chicken or turkey, Italian style,  lower sodium",7976,Chicken breast,1
"Bacon, turkey, low sodium",7974,ground turkey,1
"Beverages, tea, ready-to-drink, lemon, diet",14207,Black tea,1
"Broccoli, chinese, cooked",11969,Steamed Crown broccoli florets and stalk,1
"Beverages, tea, Oolong, brewed",14185,Black tea,1
"Beverages, chocolate powder, no sugar added",14063,Cocoa powder,1
"REDUCED SODIUM: Turkey breast, sliced, prepackaged",907081,ground turkey,1
"Potatoes, canned, drained solids, no salt added",43311,Steamed russet potato flesh only,1
"Cabbage, japanese style, fresh, pickled",43143,Purple cabbage,1
"Cheese, monterey",1025,cream cheese,0
"Cream substitute, powdered",1069,Protein powder,0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1082,Lowfat chocolate milk,0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1085,Lowfat chocolate milk,0
"Spices, cinnamon, ground",2010,ground pork,0
"Spices, paprika",2028,Dried apricots,0
"Spices, pepper, black",2030,Black tea,0
"Spices, turmeric, ground",2043,ground turkey,0
"Salt, table, iodized",2047,Table sugar,0
"Oil, soybean, salad or cooking",4044,Soy milk,0
"Oil, olive, salad or cooking",4053,chives,0
"Oil, cottonseed, salad or cooking",4502,Cottage cheese,0
"Oil, sunflower, linoleic, (approx. 65%)",4506,Sunflower seeds,0
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",4511,Commercial Mac and Cheese,0
"Oil, corn, industrial and retail, all purpose salad or cooking",4518,All purpose flour,0
"Oil, canola",4582,Granola,0
"Margarine, regular, 80% fat, composite, stick, with salt",4610,Whole Green house (large) tomato,0
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",4613,Vegetable chips,0
"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",4691,Steamed Red chard leaves and stalk (Cal-Organic),0
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",4694,Vegetable chips,0
"Potatoes, mashed, dehydrated, flakes without milk, dry form",11378,Potato bread,0
"Alcoholic beverage, beer, light",14006,Righteous rye bread,0
"Beverages, carbonated, ginger ale",14136,Rice cereal (Gerber),0
"Water, tap, drinking",14411,Freeze dried apple rings,0
"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",18369,Canned low sodium pinto bean,0
"Syrups, corn, light",19350,Maple syrup,0
"Noodles, egg, enriched, cooked",20110,Chicken Noodle Soup,0
"Chewing gum, sugarless",43060,Table sugar,0
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",1067,Vegetable juice,0
"Spices, basil, dried",2003,Basil,0
"Spices, coriander leaf, dried",2012,Spinach leaves,0
"Spices, ginger, ground",2021,ground pork,0
"Spices, marjoram, dried",2023,Dried orange slices,0
"Spices, onion powder",2026,Onion,0
"Spices, sage, ground",2038,ground pork,0
"Vinegar, distilled",2053,Tortilla chips,0
"Lemon juice, raw",9152,Lime juice,0
"Cassava, raw",11134,Cashew,0
Potato flour,11413,Potato bread,0
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",14037,Whole wheat tortilla,0
"Cheese, mexican, queso asadero",1166,American Cheese,0
Lard,4002,Steamed Collard greens leaves and stalk,0
"Oil, peanut, salad or cooking",4042,Peanuts,0
"Oil, sesame, salad or cooking",4058,American Cheese,0
"Fat, turkey",4575,ground turkey,0
"Turkey, skin from whole, (light and dark), with added solution, roasted",5699,ground turkey,0
"Raisins, seedless",9298,Red seedless grape,0
"Beverages, tea, instant, lemon, sweetened, powder",14370,Unsweetened almond milk,0
"Fat, chicken",4542,Chicken breast,0
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",9130,Unsweetened pitted prunes,0
"Soybeans, mature seeds, sprouted, cooked, steamed",11453,Steamed Green beans,0
